1 2 3 4
5 6 7 8
9 10 11 0
13 14 15 12

1 2 3 4
5 6 7 8
9 10 0 12
13 14 11 15

1 2 3 4
5 6 0 7
9 10 11 8
13 14 15 12

1 2 0 4
5 6 3 7
9 10 11 8
13 14 15 12

1 2 3 4
5 6 7 8
9 0 15 11
13 10 14 12

0 1 2 3
5 6 7 4
9 10 11 8
13 14 15 12

1 2 3 4
5 7 0 8
9 6 15 11
13 10 14 12

2 3 0 4
1 5 7 8
9 6 11 12
13 10 14 15

1 0 3 4
6 2 7 8
5 10 15 11
9 13 14 12

1 2 3 4
5 7 12 8
9 6 0 15
13 10 14 11

1 2 3 4
9 5 6 8
10 14 7 0
13 11 15 12

1 2 0 3
5 7 8 4
9 6 12 15
13 10 14 11

1 2 3 4
5 6 7 8
9 12 15 0
13 14 11 10

0 2 3 4
1 6 7 8
5 13 12 15
10 9 14 11

1 2 3 4
5 10 8 12
6 7 11 0
9 13 14 15

1 3 0 4
6 2 7 8
5 13 14 12
11 9 10 15

1 2 3 0
9 10 5 4
13 6 12 8
14 11 7 15

1 2 8 3
5 0 6 4
9 10 12 15
13 14 11 7

1 2 3 4
0 13 7 8
6 5 11 15
10 9 12 14

0 3 11 4
2 14 6 7
1 13 10 8
5 9 15 12

1 2 3 7
6 10 8 4
11 0 14 12
5 9 13 15

3 7 8 4
2 1 12 0
5 6 11 15
9 10 13 14
