1 2 3 4 5
6 7 8 9 10
11 12 13 14 15
16 17 18 19 0
21 22 23 24 20

1 2 3 4 5
6 7 8 9 10
11 12 13 14 15
16 17 18 19 20
21 22 0 23 24

1 2 3 4 5
6 7 8 9 0
11 12 13 14 10
16 17 18 19 15
21 22 23 24 20

1 2 3 4 5
6 7 8 0 10
11 12 13 9 15
16 17 18 14 19
21 22 23 24 20

1 2 3 4 5
6 7 8 9 10
11 0 12 13 15
16 17 18 14 20
21 22 23 19 24

1 2 3 4 5
6 7 8 0 9
11 12 13 14 10
16 17 18 20 15
21 22 23 19 24

1 2 3 4 5
6 7 8 9 10
11 12 13 14 15
21 16 17 18 19
22 0 23 24 20

1 2 3 4 5
6 7 8 9 10
11 12 13 14 15
22 0 17 18 19
16 21 23 24 20

1 2 3 0 4
6 7 8 10 5
11 12 13 9 15
16 17 19 14 20
21 22 18 23 24

6 1 2 4 5
7 0 3 9 10
11 12 8 13 14
16 17 18 19 15
21 22 23 24 20

1 2 3 4 5
0 6 7 9 10
11 12 8 14 15
16 23 13 18 19
21 17 22 24 20

1 2 3 4 0
6 7 13 8 5
11 12 18 14 10
16 17 19 9 15
21 22 23 24 20

2 6 3 4 5
11 1 7 9 10
12 0 8 13 14
16 17 18 19 15
21 22 23 24 20

6 1 3 4 5
11 2 8 9 10
7 17 12 14 15
16 13 19 0 20
21 22 18 23 24

1 2 3 4 5
6 7 8 9 10
11 12 13 14 15
21 18 24 23 19
17 16 22 0 20

1 2 8 4 5
6 7 9 14 3
11 12 13 19 10
16 17 23 18 15
21 22 0 24 20

1 2 3 4 5
6 7 8 9 10
11 12 13 18 14
16 17 23 15 24
21 22 20 0 19

1 2 3 4 5
7 13 12 9 10
6 22 0 14 15
11 17 8 18 19
16 21 23 24 20

1 2 4 5 10
0 12 7 3 8
6 17 13 9 15
11 22 18 14 20
16 21 23 19 24

6 3 4 5 10
2 1 7 0 9
11 13 8 14 15
16 12 17 18 19
21 22 23 24 20

1 2 3 9 4
6 7 8 13 5
11 17 12 19 10
21 16 18 14 0
22 23 24 20 15

1 2 3 4 5
6 8 17 9 10
11 7 0 14 15
22 13 12 18 20
16 21 23 19 24

1 2 3 4 5
7 12 8 9 10
6 16 13 14 15
21 11 23 20 24
17 0 22 19 18

1 2 3 4 5
6 7 8 9 10
12 16 13 19 14
11 22 15 24 23
21 18 0 17 20

1 2 3 10 15
6 7 8 5 9
11 12 13 4 20
16 17 18 19 14
21 22 23 0 24
